question,answer_index,mean_consistency,sample_strategy,judge_model,accuracy_rating,accuracy_justification,readability_rating,readability_justification,completeness_rating,completeness_justification
1. Was ist Tinnitus?,5,0.9866,single,openai/gpt-oss-120b,5,"The response correctly defines tinnitus, notes it is a symptom rather than a disease, lists appropriate common causes, describes the underlying neural mechanism in line with current understanding, and accurately mentions its potential psychosocial impact without any misinformation.",4,"The explanation is generally clear and well‑structured, but it includes several medical terms (e.g., Otosklerose, Morbus Menière, Hörbahnverlauf, pathologische Veränderung) that are not explained, which may slightly impede a layperson’s full comprehension.",4,"The answer gives a clear definition, notes that tinnitus is a symptom rather than a disease, lists common ear-related causes, briefly explains the pathophysiology and mentions its potential impact, but omits broader aspects such as prevalence, classification (subjective vs objective) and non‑otologic causes."
2. Was sind die Symptome?,1,0.9277,single,openai/gpt-oss-120b,3,"The response mentions several common associated issues (hearing loss, hyperacusis, sleep disturbance, concentration problems) which are relevant, but it omits the core symptom of tinnitus (perception of sound) and adds non‑specific or inaccurate symptoms such as ear pain and sleepiness, resulting in only moderate accuracy.",3,"The response lists many symptoms in clear sentences, but includes several technical terms (e.g., Hyperakusis, Dysakusis, einseitiger Hochfrequenz‑Hörverlust) that are not explained, which may confuse a lay reader.",2,"The answer lists many associated and secondary effects but completely omits the primary symptom of tinnitus itself (the perception of ringing, buzzing, etc.), which is essential. Important clinical details are missing."
3. Wie erfolgt die Diagnose?,1,0.8948,single,openai/gpt-oss-120b,4,"The answer correctly lists the key components of tinnitus assessment (clinical exam, audiometry, imaging when indicated, otoacoustic emissions, evaluation for somatic causes, and multidisciplinary involvement). It adds a few less‑common tests (e.g., dichotic test) that are not standard but does not provide misleading or harmful information. Overall the content aligns with current ENT guidelines.",2,"The response contains many technical terms and abbreviations (e.g., Doppler‑Sonographie, MRT, OAE, BERA, CMD‑Screening) without explanation, making it hard for a non‑medical reader to follow, though the overall structure is somewhat clear.",3,"The response mentions several imaging and audiological tests and multidisciplinary input, but it omits key components such as a thorough patient history, otoscopic examination, pure‑tone and speech audiometry, and use of standardized tinnitus questionnaires, so it does not fully cover the diagnostic work‑up."
4. Welche Tinnitus-Modelle gibt es?,2,0.9418,single,openai/gpt-oss-120b,3,"The answer lists three models, but tinnitus research recognizes several additional and more established models (e.g., Jastreboff’s neurophysiological model, thalamocortical dysrhythmia, predictive coding, central gain, habituation), and the “anxiety‑avoidance model” is not a standard term; thus the response is only moderately accurate.",4,"The answer uses simple, well‑structured sentences and explains each model in plain terms, with only minimal technical words (e.g., “neurophysiologische”) that do not impede understanding.",2,"The answer lists only three models and omits several other well‑established tinnitus models (e.g., Jastreboff’s habituation model, central gain/thalamocortical dysrhythmia, neuromodulatory and auditory‑sensory models), so it is not fully comprehensive."
5. Welche Behandlungen gibt es für Tinnitus?,10,0.9683,single,openai/gpt-oss-120b,5,"The response accurately reflects current tinnitus management guidelines—no approved specific drugs, emphasis on education, counseling, CBT and TRT, and appropriate use of hearing aids or cochlear implants for hearing loss—without any false or misleading statements.",4,"The answer is generally clear and well‑structured, using plain language for most concepts, though it includes a few technical terms (e.g., “tinnitus‑spezifische kognitive Verhaltenstherapie”, “TRT/TBT”, “Cochlea‑Implantate”) that may be unfamiliar to a layperson but do not prevent overall understanding.",3,"The answer includes the main counseling and CBT/TRT approaches and hearing‑aid options, but omits other relevant treatments such as sound‑masking devices, pharmacologic adjuncts, neuromodulation, lifestyle modifications, and surgical options, so it is only partially complete."
6. Nennen Sie mir einige Informationsquellen,3,0.9314,single,openai/gpt-oss-120b,5,"The answer lists legitimate, well‑known organizations and resources that provide reliable information on tinnitus, with no factual errors or hallucinated entities.",5,"The answer uses simple, concise bullet points, plain language and familiar terms, making it easy for a lay patient to understand the suggested information sources.",5,"The reply lists several reputable German and international tinnitus information sources, adequately fulfilling the request for “some information sources.”"
7. Was ist eine Audiometrie?,7,0.9817,single,openai/gpt-oss-120b,5,"The response correctly describes audiometry as the most common hearing test that measures audible frequencies and intensities, with results plotted on an audiogram to detect hearing loss, without any inaccuracies or hallucinations.",5,"The answer uses simple, everyday language, explains technical terms in parentheses, and is well‑structured, making it easy for a lay patient to understand what an audiometry is.",3,"The answer correctly defines audiometry as a hearing test that measures frequency and intensity thresholds and mentions the audiogram, covering the core concept, but it omits other relevant details such as types of audiometry (pure‑tone, speech), air vs. bone conduction, and clinical uses beyond detection."
8. Was sind die Komorbiditäten von Tinnitus?,8,0.9644,single,openai/gpt-oss-120b,5,"The response correctly lists well‑established tinnitus comorbidities (hearing loss, hyperacusis, sleep and concentration problems, depression, anxiety) and also mentions commonly reported associations such as hypertension, diabetes, hyperlipidaemia and thyroid disease, without presenting any false or hallucinated information. Minor omissions do not affect safety.",4,"The answer is well‑structured and uses plain language for most items, but it includes a few technical terms (e.g., Hyperakusis, Hyperlipidämie, rheumatoide Arthritis) that a lay patient might not fully understand without explanation.",4,"The answer lists the major psychiatric, sleep, cardiovascular, metabolic, and musculoskeletal comorbidities commonly associated with tinnitus, covering the core aspects, but omits some additional relevant conditions such as temporomandibular disorders, vestibular/migrainous disorders, and medication effects."
9. Wie ist der aktuelle Forschungsstand zu Tinnitus?,6,0.9429,single,openai/gpt-oss-120b,4,"The response accurately describes the heterogeneous nature of current tinnitus research, correctly references ongoing exploratory biomarker studies (which are not yet validated), mentions the standard THI questionnaire and the British Tinnitus Association, and does not contain any false or harmful statements. Minor omissions of other research areas do not affect safety.",3,"The response contains several technical terms and abbreviations (e.g., biomarker names, specific blood parameters, questionnaire titles) that a lay patient may not fully grasp, though the overall meaning is still conveyed.",2,"The answer only mentions a few biomarker studies and questionnaires, neglecting major areas such as neurophysiological mechanisms, imaging, genetics, neuromodulation, pharmacologic trials, and broader research initiatives, making it a superficial overview."
"10. ""Können Sie mir meine Erkrankung in einfachen Worten erklären?""",6,0.9781,single,openai/gpt-oss-120b,5,"The explanation correctly describes tinnitus as a perception of sound without external source, notes it is not typically a sign of serious brain disease, and outlines the usual clinical approach, without any inaccurate or hallucinated information.",4,"The explanation uses simple, everyday language and clear sentences, with only a few mild medical terms that do not impede understanding.",2,"The answer gives a very basic definition and reassurance but omits key information such as common causes, risk factors, diagnostic work‑up, treatment options, and guidance on when to seek further care, which are important for a complete patient‑focused explanation."
"11. ""Was bedeutet diese Diagnose für meinen Alltag?""",4,0.9135,single,openai/gpt-oss-120b,5,"The answer accurately reflects current clinical understanding of tinnitus impact, distinguishes compensated and decompensated forms, mentions appropriate assessment tools, and advises appropriate medical follow‑up without any misinformation.",4,"The response is mostly clear and well‑structured, using simple sentences, but it includes a few technical terms (“kompensiert”, “dekompensiert”, “Anamnese”, “standardisierte Fragebögen”) that a lay patient might not fully grasp without explanation.",3,"The answer explains the general impact of tinnitus on daily life and mentions compensated vs decompensated forms, quality‑of‑life issues, and the need to discuss therapy, but it omits many practical aspects (e.g., specific coping strategies, work‑related considerations, safety issues, hearing protection, and detailed treatment options) that a complete clinical response should include."
